index,title_year,top200,year,first_year,decade,Category,Era,APP_Era,APP_Era_exp,Existential Threat,Existential Threat_exp,APP_World After,APP_World After_exp,Dystopian/Post-Apoc,Dystopian/Post-Apoc_exp,Inequality,Inequality_exp,Suffering,Suffering_exp,A militarized society,A militarized society_exp,unknown,unknown_exp,society,society_exp,human,human_exp,self,self_exp,Social Issues,Social Issues_exp
542,Testament (1983),1,1983,1983,1980,other,present,present,The film takes place in the present (at the time the film was made in 1983).,1,"There is an existential threat to humanity in the story, caused by the aftermath of nuclear war.",0,The characters do not make the world better; they struggle to survive in a deteriorating environment.,1,The story is set in a post-apocalyptic world following a nuclear war.,0,There is no notable amount of inequality highlighted at the beginning of the story.,0,There is no notable amount of human suffering highlighted at the beginning of the story.,0,The setting at the beginning of the story does not involve a militarized society.,1,"The story involves a human vs. the unknown conflict, with the unknown being the nuclear fallout and its effects.",0,The story does not primarily involve a human vs. society conflict.,1,"The story involves a human vs. the unknown conflict, with the unknown being the nuclear fallout and its effects.",1,The story involves a human vs. self conflict as characters struggle with their internal emotions and resilience.,1,"The story is a commentary on social issues of the 1980s, particularly the fear of nuclear war."
543,Spacehunter: Adventures in the Forbidden Zone (1983),1,1983,1983,1980,other,future,future,The film is set in a future with advanced space travel and technology.,0.5,"While there are significant threats, they are more localized rather than an existential threat to all humanity.",1,The protagonists' actions lead to the liberation of people and therefore make the world better.,1,The world is depicted as dystopian and post-apocalyptic with significant societal collapse and danger.,1,"The setting features significant inequality, particularly between the ruling entity and the oppressed inhabitants.",1,There is considerable human suffering due to the oppressive regime and dangerous environment.,0.5,"While there are elements of militarization, the focus is more on survival and rebellion against the oppressive forces.",1,The story involves humans facing unknown and hostile alien threats.,1,The protagonists are in conflict with the authoritarian society imposed by the antagonist.,1,The story involves humans facing unknown and hostile alien threats.,0,The story does not significantly involve a human vs. self conflict.,0.5,"While not a primary focus, there are undercurrents of social commentary related to oppression and resistance."
545,Cube (1997),1,1997,1997,1990,other,present,present,The film appears to take place in a setting that resembles the present era.,0.5,"While the cube presents a significant danger to the protagonists, it is not presented as a threat to humanity as a whole.",0,The film does not clarify the implications of the protagonists' actions on the world outside the cube.,1,"The confined, trap-filled cube is a dystopian setting.",0,There is no clear indication of notable inequality at the beginning of the story.,0.5,"The characters are suffering within the cube, but there is no depiction of suffering before they entered it.",0,The setting does not indicate a militarized society.,1,The story involves humans trying to understand and survive the unknown threats within the cube.,0,The primary conflict is not directly with society but rather with the cube's mechanisms.,1,The story involves humans trying to understand and survive the unknown threats within the cube.,1,"Some characters face internal struggles as they deal with fear, suspicion, and moral dilemmas.",1,The story can be seen as a commentary on human behavior and societal structures under extreme conditions.
546,Split Second (1992),1,1992,1992,1990,other,future,future,"The film is set in a future version of London, characterized by environmental degradation and societal decay.",0.5,"While the main threat is a deadly creature, it poses a significant danger to the characters and society, but it is not an existential threat to the entirety of humanity.",0.5,"By the end of the film, the immediate threat is addressed, but the world remains troubled and dystopian.",1,The film is set in a dystopian future.,1,"The setting shows significant inequality, with societal decay and harsh living conditions.",1,There is notable human suffering depicted at the beginning due to environmental and societal collapse.,1,The society at the beginning is heavily militarized as they deal with the creature and other societal issues.,1,The core conflict involves humans against the unknown creature.,0.5,"There are elements of human vs. society conflict due to the decaying societal structures, though it is not the main conflict.",1,The core conflict involves humans against the unknown creature.,0.5,There are elements of human vs. self conflict as characters struggle with their own fears and limitations.,0.5,The story touches on social issues such as environmental decay and societal collapse but is primarily an action/horror narrative.
547,Suburban Commando (1991),1,1991,1991,1990,animated/kids/comedy,present,present,The film takes place in the present time relative to when it was released (1991).,0,There is no existential threat to humanity; the threats are more localized and specific to the characters.,1,The characters do make the world better by resolving the central conflict and improving things for those involved.,0,The story is not set in a dystopian or post-apocalyptic world; it takes place in a suburban setting in the present.,0,The setting at the beginning of the story does not have a notable amount of inequality.,0,There isn't a notable amount of human suffering depicted at the beginning of the story.,0,The setting at the beginning of the story does not have a militarized society.,0.5,The story has some elements of human vs. the unknown as the protagonist faces unfamiliar threats.,0,The story does not involve a human vs. society conflict.,0.5,The story has some elements of human vs. the unknown as the protagonist faces unfamiliar threats.,0,The story does not involve a human vs. self conflict.,0,The story is not a commentary on social issues of today.
551,Cloudy with a Chance of Meatballs (2009),1,2009,2009,2000,animated/kids/comedy,present,present,The film is set in a contemporary setting that resembles the present.,1,There is an existential threat to humanity in the form of giant food storms which could be catastrophic.,1,The characters make the world better by stopping the dangerous food weather.,0,The story is not set in a dystopian or post-apocalyptic world.,0,The setting does not have a notable amount of inequality; it is a typical small town.,0,The setting does not have a notable amount of human suffering.,0,The setting does not feature a militarized society.,1,The story involves a conflict with an unknown phenomenon of food raining from the sky.,0,The story does not involve a conflict with society.,1,The story involves a conflict with an unknown phenomenon of food raining from the sky.,1,"The protagonist Flint struggles with his own limitations and aspirations, which constitutes a human vs. self conflict.",0.5,The story somewhat comments on the consequences of uncontrolled technological advancements and personal responsibility.
552,Babylon A.D. (2008),1,2008,2008,2000,other,future,future,The film takes place in a future world.,1,"There is an existential threat to humanity in the form of the secret carried by the woman, which could have world-changing implications.",0.5,"The characters' actions have a mixed impact on the world, with both positive and negative outcomes by the end of the story.",1,The world depicted in 'Babylon A.D.' is a dystopian future.,1,There is a notable amount of inequality in the setting at the beginning of the story.,1,The setting at the beginning of the story features a notable amount of human suffering.,1,The society in 'Babylon A.D.' is highly militarized.,0,"While there are unknown elements in the story, the primary conflicts are human vs. human and human vs. society rather than human vs. the unknown.",1,The story involves a conflict between individuals and the society in which they live.,0,"While there are unknown elements in the story, the primary conflicts are human vs. human and human vs. society rather than human vs. the unknown.",0,There is little focus on human vs. self conflict in the film.,1,"The story serves as a commentary on social issues such as inequality, authoritarianism, and the impact of technology."
553,Paprika (2006),1,2006,2006,2000,other,present,present,The film is set in a contemporary setting with advanced technology that could be considered near-future.,0.5,"There is a significant threat to humanity related to the blending of dreams and reality, but it's not presented as an existential threat to all of humanity.",1,"By the end of the film, the protagonists manage to resolve the issue, implying that the world is better compared to the chaotic state during the events of the story.",0,The world in 'Paprika' is not dystopian or post-apocalyptic.,0,The film's setting doesn't notably emphasize societal inequality at the beginning.,0,There is no notable amount of human suffering at the beginning of the story; the suffering starts due to the misuse of the DC Mini.,0,The society in the film is not militarized.,1,The story involves a conflict between humans and the unknown as the characters face the mysterious blending of dreams and reality.,0.5,"There is some element of societal conflict involving how technology is controlled and regulated, but it is not the central focus.",1,The story involves a conflict between humans and the unknown as the characters face the mysterious blending of dreams and reality.,1,"The story involves significant human vs. self conflict as characters grapple with their own dreams, realities, and identities.",1,"The film provides commentary on issues like the ethics of technology, privacy, and the impact of scientific advancements on society."
554,City of Ember (2008),1,2008,2008,2000,other,future,future,The film is set in a future where humanity has retreated underground due to a cataclysmic event.,1,There is an existential threat to humanity as the power source of the underground city is failing.,1,"The characters make the world better by discovering the exit from Ember, leading to potential salvation.",1,The story is set in a dystopian world where humanity is living underground to escape a past cataclysm.,1,There is notable inequality in access to resources and information within Ember.,1,There is notable human suffering due to resource scarcity and failing infrastructure.,0,The society in Ember is not particularly militarized.,1,The story involves a human vs. unknown conflict as the inhabitants must understand and tackle the failing city systems.,1,The story involves a human vs. society conflict as the protagonists oppose the authoritarian regime of Ember.,1,The story involves a human vs. unknown conflict as the inhabitants must understand and tackle the failing city systems.,0,The story does not prominently involve a human vs. self conflict.,1,"The story can be seen as a commentary on themes such as resource management, governance, and the resilience of human spirit, which are relevant social issues today."
566,A Quiet Place (2018),1,2018,2018,2010,other,present,present,The film takes place in a time that resembles the present-day era with contemporary technology and settings.,1,There is an existential threat to humanity posed by the alien creatures.,0.5,"The characters manage to find a way to fight back, but the world remains dangerous, suggesting it is somewhat improved but not fully restored.",1,The story is set in a post-apocalyptic world after the invasion of the alien creatures.,0,The setting at the beginning does not highlight inequality as a notable characteristic.,1,The setting at the beginning includes notable human suffering due to the constant threat of the alien creatures.,0,"The setting does not depict a notably militarized society, rather it is about survival of individual families.",1,The story involves a conflict between humans and the unknown alien creatures.,0,The conflict is not primarily between humans and society.,1,The story involves a conflict between humans and the unknown alien creatures.,1,"The story includes human vs. self conflict, particularly with personal fears and the struggle for survival.",0,The story is not overtly a commentary on social issues of today; it is more focused on survival horror.
567,Black Mirror: Bandersnatch (2018),1,2018,2018,2010,other,past,past,The film is set primarily in the 1980s.,0,There is no direct existential threat to humanity as a whole in the story.,0.5,The characters' actions have ambiguous outcomes leading to the world being potentially the same or worse than before.,0,The story is not set in a dystopian or post-apocalyptic world.,0,The setting at the beginning of the story does not have a notable amount of inequality explicitly shown.,0,The setting at the beginning does not emphasize notable human suffering.,0,The setting does not depict a militarized society.,1,"The story involves human vs. the unknown conflict, as the protagonist encounters inexplicable and puzzling situations.",0.5,"There is some element of human vs. society conflict in a broader sense, dealing with expectations and regulations, but it's not the main focus.",1,"The story involves human vs. the unknown conflict, as the protagonist encounters inexplicable and puzzling situations.",1,"The story heavily involves a human vs. self conflict, as the protagonist struggles with their own decisions and mental state.",1,"The story serves as a commentary on social issues such as free will, the impact of technology on human choices, and mental health."
568,1984 (1956),1,1956,1956,1950,other,future,future,The film is set in a future dystopian society.,1,"Yes, the totalitarian regime poses an existential threat to individual freedom and thought.",0,"The characters do not make the world better; in fact, their actions lead to severe consequences for themselves without changing the regime.",1,The story is set in a dystopian world under severe authoritarian control.,1,There is significant inequality due to the oppressive Party's control over society.,1,There is notable human suffering because of the harsh policies and surveillance by the Party.,1,The society is militarized with strict control and surveillance by the Thought Police.,0,"The story does not involve a conflict with an unknown entity, but rather with a known oppressive regime.",1,"Yes, the conflict is between the individual and the larger society controlled by the Party.",0,"The story does not involve a conflict with an unknown entity, but rather with a known oppressive regime.",1,"Yes, Winston struggles internally with fear, loyalty, and defiance against the Party.",1,"The story is a commentary on social issues like totalitarianism, surveillance, and loss of freedoms, which are relevant to contemporary society."
574,Rabid (1977),1,1977,1977,1970,other,present,present,The film takes place in the present era at the time of its release in 1977.,1,"Yes, the infection spreading through the population creates an existential threat to humanity.",0.5,"Somewhat; the situation deteriorates due to the infection, but efforts to contain it are made, making the world marginally worse or the same.",0,"No, the story is not set in a dystopian or post-apocalyptic world at the beginning, though it edges towards dystopian themes as the infection spreads.",0,The setting at the beginning of the story does not have a notable amount of inequality.,0,The setting at the beginning of the story does not depict a notable amount of human suffering.,0,The society in the story is not militarized at the beginning.,1,"Yes, the story involves a conflict between humans and the unknown infection.",0.5,Somewhat; the societal response to the infection creates tension and conflict.,1,"Yes, the story involves a conflict between humans and the unknown infection.",0,"No, the story does not primarily involve a human vs. self conflict.",1,"Yes, the story can be seen as a commentary on medical ethics and the unintended consequences of scientific experimentation."
576,Atlantis: The Lost Continent (1961),1,1961,1961,1960,other,past,past,The film takes place in an ancient past setting.,0.5,"While there is a significant threat to the protagonists and their world, it is not portrayed as an existential threat to all humanity.",1,"The characters aim to make the world better, such as by opposing the evil rulers of Atlantis.",0,The story is not set in a dystopian or post-apocalyptic world but in a mythical ancient civilization.,1,"The setting at the beginning of the story has a notable amount of inequality, with a hierarchical and oppressive society in Atlantis.",1,"There is a notable amount of human suffering in Atlantis, including slavery and brutal treatment of inhabitants.",1,Atlantis is portrayed as a militarized society with advanced weaponry and brutal enforcement of laws.,0.5,"While there is an element of unknown threats associated with the mystical aspects of Atlantis, it is not the central conflict.",1,"The story involves a human vs. society conflict, with the protagonists opposing the corrupt and oppressive society of Atlantis.",0.5,"While there is an element of unknown threats associated with the mystical aspects of Atlantis, it is not the central conflict.",0,The story does not involve a significant human vs. self conflict; the main focus is on external conflicts.,0,The story is more of a traditional adventure without direct commentary on social issues of today.
577,A Boy and His Dog (1975),1,1975,1975,1970,other,future,future,The film takes place in a post-apocalyptic future.,1,"Yes, there is an existential threat to humanity as it takes place in a world devastated by nuclear war.",0,The characters do not significantly change the world for better or worse; they mostly focus on their own survival.,1,"Yes, the setting is distinctly dystopian and post-apocalyptic.",1,"Yes, there is notable inequality, especially depicted in the society living underground.",1,"Yes, there is significant human suffering evident throughout the film.",1,"Yes, the setting is highly militarized, with factions and roving bands of survivors.",0,The main conflict does not center around the unknown but rather survival in a known post-apocalyptic environment.,1,"Yes, there is a significant human vs. society conflict, especially shown in the protagonist’s interactions with the underground society.",0,The main conflict does not center around the unknown but rather survival in a known post-apocalyptic environment.,0,The film does not focus on a human vs. self conflict but rather external survival challenges.,1,"The story serves as a commentary on social issues such as power, survival, and the breakdown of societal norms."
579,Battle in Outer Space (1959),1,1959,1959,1950,other,future,future,"The film takes place in the future, with advanced space technology that signifies a time ahead of the present.",1,"Yes, there is an existential threat to humanity in the form of an alien invasion.",1,The characters ultimately make the world better by overcoming the alien threat and restoring peace.,0,The story is not set in a dystopian or post-apocalyptic world but rather a highly advanced future where humanity faces an external threat.,0,No notable amount of inequality is depicted in the setting at the beginning of the story.,0,There is no notable amount of human suffering depicted in the setting at the beginning of the story.,0.5,"The society is somewhat militarized, likely due to the necessity of defense against the alien threat.",1,"Yes, the story involves conflict between humans and an unknown alien force.",0,The story does not involve significant conflict within human society itself.,1,"Yes, the story involves conflict between humans and an unknown alien force.",0,The story does not focus on a human vs. self conflict.,0.5,"There are some allegorical elements reflecting Cold War-era fears, but it is primarily about the alien invasion."
580,It's Alive (1974),1,1974,1974,1970,other,present,present,The film takes place in the present era of the 1970s when it was made.,0.5,"There is a significant threat posed by the monstrous baby, but it is not portrayed as an existential threat to all humanity.",0,The characters do not significantly make the world better; they merely respond to the immediate threat.,0,The story is not set in a dystopian or post-apocalyptic world; it is set in a contemporary environment with the anomaly of the mutant baby.,0,The setting does not emphasize inequality at the beginning of the story.,0,The setting does not emphasize notable human suffering at the beginning of the story.,0,The setting at the beginning of the story does not have a militarized society.,1,"The story involves a human vs. the unknown conflict, with the unknown being the monstrous mutant baby.",0,The story does not involve a conflict against society.,1,"The story involves a human vs. the unknown conflict, with the unknown being the monstrous mutant baby.",0,The story does not significantly focus on a human vs. self conflict.,0.5,"The story might be interpreted as a commentary on parental fears and medical ethics, but it is not explicitly focused on social issues of the time."
582,Frogs (1972),1,1972,1972,1970,other,present,present,The film takes place in the present era of the 1970s.,0.5,"There is a significant threat to the characters, but it is not an existential threat to all humanity.",0,The characters do not make the world better than the state it was in before the story.,0,The story is not set in a dystopian or post-apocalyptic world.,0,There isn't a notable amount of inequality at the beginning of the story.,0,There isn’t a notable amount of human suffering at the beginning of the story.,0,The setting at the beginning of the story does not have a militarized society.,1,"The story involves a human vs. the unknown conflict, primarily the mysterious turn of animals attacking humans.",0,The story does not involve a human vs. society conflict.,1,"The story involves a human vs. the unknown conflict, primarily the mysterious turn of animals attacking humans.",0,The story does not involve a human vs. self conflict.,0,The story is not a commentary on social issues of today.
583,Konga (1961),1,1961,1961,1960,other,present,present,The film takes place in the present era of the 1960s.,0.5,"While the threat is significant and causes chaos, it doesn't pose a global existential threat.",0,"The actions of the characters result in chaos and destruction, making the world worse.",0,The story is not set in a dystopian or post-apocalyptic world.,0,The setting at the beginning does not have a notable amount of inequality.,0,The setting at the beginning does not have a notable amount of human suffering.,0,The society is not notably militarized at the beginning of the story.,1,The story involves a conflict between humans and the unknown threat of the giant gorilla.,0.5,"There is some conflict with societal norms, particularly with the scientific community and public.",1,The story involves a conflict between humans and the unknown threat of the giant gorilla.,0.5,There is some element of Dr. Decker's internal conflict regarding his scientific ambitions and moral boundaries.,0.5,"The story touches on issues such as the ethics of scientific experimentation and playing God, but it is not the main focus."
584,God Told Me To (1976),1,1976,1976,1970,other,present,present,"The film is set in the 1970s, which was the present when the movie was made.",1,There is an existential threat as the protagonist discovers that the strange events are connected to a potential divine or extraterrestrial entity.,0,The protagonists do not significantly improve or worsen the state of the world by the end of the story.,0,"The story is not set in a dystopian or post-apocalyptic world, but rather in a contemporary urban setting.",0,The setting at the beginning of the story does not have a notable amount of inequality.,0,The setting at the beginning of the story does not have a notable amount of human suffering.,0,The setting at the beginning of the story does not have a militarized society.,1,The story involves a human vs. the unknown conflict as the protagonist deals with a mysterious figure influencing people to commit murders.,0.5,There is somewhat a human vs. society conflict as the protagonist navigates societal reactions to the strange events.,1,The story involves a human vs. the unknown conflict as the protagonist deals with a mysterious figure influencing people to commit murders.,1,There is a human vs. self conflict as the protagonist struggles with his own beliefs and identity.,1,The story is a commentary on social issues such as religious fanaticism and the search for meaning.
585,Terror Is a Man (1959),1,1959,1959,1950,other,present,present,The film is set in what is effectively the present for the time it was made (1959).,0,There is no existential threat to humanity; the threat is localized to the island where the story takes place.,0.5,"By the end of the film, the threat is neutralized, but it's ambiguous whether the world is better overall due to the lasting consequences of the events.",0,The story is not set in a dystopian or post-apocalyptic world.,0,The setting at the beginning of the story does not indicate a notable amount of inequality.,0,There is no notable amount of human suffering at the beginning of the story.,0,The society at the beginning of the story is not militarized.,1,"The story involves a human vs. the unknown conflict, specifically with the hybrid creature.",0,The story does not involve a human vs. society conflict.,1,"The story involves a human vs. the unknown conflict, specifically with the hybrid creature.",0,There is no significant human vs. self conflict in the story.,0.5,"The story could be seen as a commentary on the dangers of scientific hubris, which is a relevant social issue, although it is not the primary focus."
586,Damnation Alley (1977),1,1977,1977,1970,other,future,future,The film is set in a future post-apocalyptic world following a nuclear war.,1,There is an existential threat to humanity due to the nuclear apocalypse and the resultant hostile environment.,0.5,"The characters' journey aims to find and reach a safer place, which can be seen as an attempt to make their world better, but the overall impact is limited.",1,The story is set in a dystopian post-apocalyptic world resulting from a nuclear holocaust.,0,"The story begins after a nuclear apocalypse, so issues of inequality are not prominently highlighted compared to survival.",1,There is notable human suffering at the beginning due to the catastrophic effects of the nuclear apocalypse.,0,The society at the beginning of the story is not specifically described as militarized; the focus is on survival post-apocalypse.,1,The story involves humans facing unknown threats in the post-apocalyptic environment.,0,There is no significant conflict specifically involving humans against society in this narrative.,1,The story involves humans facing unknown threats in the post-apocalyptic environment.,0,There is no major element of human vs. self conflict in this story.,0.5,"The film can be seen as a commentary on the dangers of nuclear war and its catastrophic consequences, but it is not the central theme."
587,The Bed Sitting Room (1969),1,1969,1969,1960,animated/kids/comedy,future,future,The film takes place in a post-apocalyptic future.,1,There is an existential threat to humanity in the post-apocalyptic setting.,0,The characters do not significantly change the world from its post-apocalyptic state.,1,The story is set in a post-apocalyptic world.,1,The setting has notable inequality due to the chaos and breakdown of society.,1,The setting has a notable amount of human suffering due to the post-apocalyptic conditions.,1,The society is somewhat militarized due to the post-apocalyptic chaos and survival issues.,1,The story involves a human vs. unknown conflict as they navigate unexpected and bizarre situations.,1,The story involves a human vs. society conflict given the breakdown of societal norms.,1,The story involves a human vs. unknown conflict as they navigate unexpected and bizarre situations.,0.5,"There are elements of human vs. self conflict, but it is not the primary focus.",1,"The story is a commentary on social issues of the time, including the absurdity of nuclear war and societal breakdown."
588,The People That Time Forgot (1977),1,1977,1977,1970,other,past,past,The film takes place in a prehistoric past setting.,0.5,"The story has significant threats, but they are not existential to all humanity.",1,The characters improve the prehistoric world by helping the indigenous people and eliminating threats.,0,"The story is not set in a dystopian or post-apocalyptic world, but in a prehistoric setting.",0,The story does not indicate notable inequality at the beginning.,0.5,There is some human suffering due to the hostile environment and savage tribes.,0.5,The prehistoric tribes have a certain degree of militarization to defend against threats.,1,"The story involves conflict with the unknown, such as prehistoric creatures and tribes.",0.5,There are minor conflicts with societal norms and structures of the primitive tribes.,1,"The story involves conflict with the unknown, such as prehistoric creatures and tribes.",0,The story does not prominently feature a human vs. self conflict.,0.5,"There may be subtle commentary on colonization and exploration, but it is not the main focus."
589,The Castle of the Living Dead (1964),1,1964,1964,1960,other,past,past,"The film is set in a historical period, giving it a classic gothic atmosphere typical of horror films set in the past.",0.5,"While there is a threat to the protagonists, it is not an existential threat to humanity as a whole.",0.5,"The characters arguably make the world a better place by defeating the antagonist, but the immediate improvement to the world is not strongly emphasized.",0,"The story is set in a gothic historical period, not in a dystopian or post-apocalyptic world.",1,"The setting involves a castle owned by an aristocratic count, indicating a notable amount of inequality.",1,The setting and events within the castle include significant human suffering inflicted by the antagonist.,0,"The story does not depict a militarized society but rather a gothic, medieval-like setting.",1,The story primarily involves humans facing an unknown supernatural threat in the form of the count and his dark powers.,0,The conflict is not primarily against society but against a specific individual and supernatural threat.,1,The story primarily involves humans facing an unknown supernatural threat in the form of the count and his dark powers.,0,The story does not focus on a human vs. self conflict.,0,The film is more of a gothic horror and does not serve as a commentary on social issues of today.
590,The Thing with Two Heads (1972),1,1972,1972,1970,animated/kids/comedy,present,present,The film takes place in the contemporary setting of its time (early 1970s).,0,There is no existential threat to humanity presented in the story.,0,The characters end the story in a state of ambiguity but do not make the world definitively better or worse.,0,The story is not set in a dystopian or post-apocalyptic world; it is a contemporary setting reflecting the early 1970s.,1,"Yes, there is a notable amount of inequality depicted, especially racial inequality.",1,"Yes, there is significant human suffering, both from medical and racial perspectives.",0,The society in the story does not appear to be militarized.,1,"Yes, there is a component of human vs. the unknown since the characters deal with a novel medical condition.",1,"Yes, there is also a human vs. society conflict, primarily revolving around issues of race.",1,"Yes, there is a component of human vs. the unknown since the characters deal with a novel medical condition.",0.5,"There are elements of human vs. self conflict, mainly psychological struggles within the shared body.",1,"Yes, the story comments on social issues, particularly racial tensions and inequality."
591,It Lives Again (1978),1,1978,1978,1970,other,present,present,The film takes place in the present era relative to its release.,1,There is an existential threat to humanity posed by the mutated babies.,0,The world is in danger and not necessarily improved by the end of the film.,0,The world in the story is not explicitly set in a dystopian or post-apocalyptic context.,0,The setting does not focus on inequality at the start of the story.,0,There is no notable amount of human suffering at the beginning of the story outside of the immediate threat.,0,The society depicted is not particularly militarized.,1,The story involves a conflict between humans and the unknown threat of the mutated babies.,0,The primary conflict does not involve humans against society.,1,The story involves a conflict between humans and the unknown threat of the mutated babies.,0,The story does not center around a human vs. self conflict.,0,The story is more focused on the horror and sci-fi elements than direct social commentary.
592,The Green Slime (1968),1,1968,1968,1960,other,future,future,The film takes place in a futuristic setting involving space exploration and advanced technology.,1,The green slime represents an existential threat to humanity as it multiplies rapidly and can potentially wipe out human life.,0.5,"While the characters manage to prevent a complete disaster, the world is still impacted negatively by the events that occurred.",0,The story is not set in a dystopian or post-apocalyptic world but rather in a futuristic setting.,0,There is no notable emphasis on inequality in the setting at the beginning of the story.,0.5,"While the setting does not focus on human suffering initially, the threat of the green slime introduces immediate danger and crisis.",1,"The setting has a notable amount of militarization, with significant emphasis on military-like operations in space.",1,The primary conflict involves humans dealing with an unknown extraterrestrial threat.,0,The story does not significantly focus on a human versus society conflict.,1,The primary conflict involves humans dealing with an unknown extraterrestrial threat.,0,The story primarily focuses on external threats rather than internal human conflict.,0,The film does not significantly serve as a commentary on social issues of its time.
593,Dracula vs. Frankenstein (1971),1,1971,1971,1970,other,present,present,The film is set in what was the present time during its release in 1971.,0,There is no existential threat to humanity on a worldwide scale. The threats are more localized to the area's immediate surroundings.,0,The focus of the film is on the horror and conflict rather than creating a notable change in the world's state.,0,The world in the film is not depicted as dystopian or post-apocalyptic.,0,The setting at the beginning does not highlight notable inequality as a primary theme.,0,The story introduces human suffering in the context of horror and violence but not as a notable condition of the society in general.,0,The society depicted at the beginning of the film is not militarized.,1,"The protagonists face threats from supernatural entities, which can be categorized as the unknown.",0,There is no significant conflict with society as a whole; the conflicts are more personal and supernatural.,1,"The protagonists face threats from supernatural entities, which can be categorized as the unknown.",0,The story does not delve into internal conflicts within individual characters to a significant degree.,0,The film does not serve as a commentary on modern social issues; it focuses more on horror and entertainment.
594,The Invisible Boy (1957),1,1957,1957,1950,other,present,present,The film takes place in the then-present time of the 1950s.,1,There is an existential threat in the form of a megalomaniac supercomputer that could potentially control humanity.,1,The characters improve the world by defeating the malevolent supercomputer.,0,The story is not set in a dystopian or post-apocalyptic world.,0,There is no notable amount of inequality highlighted at the beginning of the story.,0,The film does not depict a notable amount of human suffering at the beginning.,0,The society at the beginning of the story is not notably militarized.,1,The story involves a conflict between humans and the unknown threat posed by the supercomputer.,0,The story does not involve a conflict between a human and society.,1,The story involves a conflict between humans and the unknown threat posed by the supercomputer.,0,The story does not involve a human vs. self conflict.,0.5,"The story could be seen as a commentary on the dangers of technology, but it is not a central theme."
595,Shock Treatment (1973),1,1973,1973,1970,other,present,present,"The film takes place in a contemporary setting for its time (1973), which aligns with 'present'.",0,"No, the threat is more psychological and personal rather than an existential threat to humanity.",0.5,"Somewhat, the characters try to address their issues, but the resolution does not clearly indicate a better world.",0,"No, the story is not set in a dystopian or post-apocalyptic world, but rather a contemporary psychological setting.",1,"Yes, there is a notable amount of inequality, particularly in the power dynamics between the patients and the medical staff.",1,"Yes, the setting at the beginning of the story includes notable human suffering, primarily psychological.",0,"No, the society in the film is not notably militarized.",0,"No, the conflict is not directly with the unknown but more with personal and social elements.",1,"Yes, the story involves a conflict with societal structures and norms, especially regarding mental health treatment.",0,"No, the conflict is not directly with the unknown but more with personal and social elements.",1,"Yes, there is a significant element of human vs. self-conflict in terms of psychological struggle.",1,"Yes, the story can be interpreted as a commentary on social issues, particularly regarding mental health and treatment practices."
596,The Revenge of Frankenstein (1958),1,1958,1958,1950,other,past,past,"The film is set in a historical period, taking place in the 19th century.",0,"There is no existential threat to humanity, only localized threats due to Frankenstein's experiments.",0,"The characters' actions lead to chaos and further issues, making the world slightly worse in the context of the narrative.",0,The setting is not dystopian or post-apocalyptic.,1,"Yes, the story includes societal stratification and economic inequality.",1,"There is notable human suffering, especially seen in Frankenstein's use of destitute and suffering individuals for his experiments.",0,The society in the story is not militarized.,0,The conflict is more human vs. known threat of Frankenstein and his experiments.,1,"Yes, the story involves human vs. society conflict, particularly in the way society views and treats Dr. Frankenstein and his work.",0,The conflict is more human vs. known threat of Frankenstein and his experiments.,0,The conflict does not primarily involve a human vs. self struggle.,1,The story comments on social issues such as the ethics of scientific experimentation and societal judgment.
597,The Three Stooges in Orbit (1962),1,1962,1962,1960,animated/kids/comedy,present,present,The film takes place in the present era relative to its release in the early 1960s.,1,There is an existential threat to humanity posed by the Martian invaders.,1,The characters make the world better by preventing the Martian invasion and restoring peace.,0,The story is not set in a dystopian or post-apocalyptic world.,0,There is no notable amount of inequality evident in the setting at the beginning of the story.,0,There is no notable amount of human suffering evident in the setting at the beginning of the story.,0,The society at the beginning of the story is not militarized.,1,The story involves a human vs. the unknown conflict as the Stooges face the unknown threat of Martian invaders.,0,The story does not involve a human vs. society conflict.,1,The story involves a human vs. the unknown conflict as the Stooges face the unknown threat of Martian invaders.,0,The story does not involve a human vs. self conflict.,0,The story is more of a humorous adventure and is not a commentary on social issues of today.
598,Women of the Prehistoric Planet (1966),1,1966,1966,1960,other,future,future,The film takes place in a future setting where space exploration is possible.,1,The crash and survival on a primitive planet represent an existential threat to the characters.,0.5,"The characters' actions do not significantly change the state of the world, focusing instead on their survival.",0,The setting is not explicitly dystopian or post-apocalyptic; it is a survival scenario on a primitive planet.,0,The setting does not begin with notable inequality as the characters are primarily focused on survival.,1,There is notable human suffering due to the crash and the harsh conditions the characters face.,0,The society at the beginning is not militarized; it's more of a space exploration mission.,1,The primary conflict involves humans versus the unknown environment of the prehistoric planet.,0,The story does not involve a human vs. society conflict.,1,The primary conflict involves humans versus the unknown environment of the prehistoric planet.,0,The story does not involve a human vs. self conflict.,0,The story is primarily a sci-fi adventure and does not serve as commentary on social issues of today.
